Employee_ID,Attrition_rate
EID_22713,0.0668
EID_9658,0.2425
EID_22203,0.0286
EID_7652,0.0978
EID_6516,0.2254
EID_20283,0.2166
EID_21014,0.0082
EID_7693,0.16
EID_13232,0.1357
EID_6515,0.1615
EID_13639,0.2759
EID_14669,0.0581
EID_16537,0.0736
EID_5782,0.1072
EID_20157,0.0486
EID_1855,0.1383
EID_20748,0.2872
EID_23179,0.0013
EID_12838,0.1975
EID_21656,0.1408
EID_8844,0.2332
EID_1536,0.0809
EID_8822,0.4086
EID_11398,0.5313
EID_12965,0.0213
EID_5204,0.004
EID_10030,0.9121
EID_13227,0.0871
EID_20607,0.1475
EID_14070,0.2114
EID_3755,0.5672
EID_5459,0.1345
EID_7697,0.0943
EID_3935,0.1797
EID_19046,0.7869
EID_4040,0.0603
EID_17730,0.0893
EID_4995,0.0128
EID_24653,0.1156
EID_6978,0.7374
EID_13775,0.1095
EID_14608,0.2553
EID_3148,0.0379
EID_24868,0.2683
EID_5521,0.0128
EID_21155,0.0039
EID_3840,0.0834
EID_10646,0.2546
EID_6711,0.2183
EID_16247,0.272
EID_16789,0.0152
EID_17967,0.1732
EID_13270,0.0433
EID_18462,0.6454
EID_22248,0.0041
EID_22693,0.9444
EID_25662,0.1367
EID_23346,0.1479
EID_4437,0.1423
EID_18108,0.1619
EID_7000,0.0009
EID_22770,0.0104
EID_7816,0.174
EID_19615,0.0799
EID_23807,0.5541
EID_16764,0.0537
EID_16818,0.0655
EID_22712,0.2413
EID_18198,0.2508
EID_11154,0.0511
EID_22137,0.0136
EID_11655,0.0734
EID_18514,0.1535
EID_24742,0.747
EID_16019,0.0137
EID_7357,0.0266
EID_20106,0.284
EID_13284,0.2983
EID_5451,0.0397
EID_19728,0.1015
EID_9178,0.2189999999999999
EID_13177,0.1234
EID_14300,0.1151
EID_4379,0.1138
EID_11285,0.076
EID_14882,0.1598
EID_9969,0.7045
EID_23643,0.174
EID_5935,0.353
EID_7741,0.1024
EID_6176,0.009
EID_5418,0.2555
EID_20626,0.5001
EID_1725,0.1248
EID_14317,0.7664
EID_12120,0.1119
EID_20264,0.2441
EID_16691,0.1789
EID_1093,0.1761
EID_2565,0.0158
EID_11463,0.1531
EID_12005,0.6454
EID_10326,0.0201
EID_12582,0.0066
EID_18228,0.157
EID_11670,0.682
EID_24257,0.1074
EID_7024,0.0044
EID_10382,0.1585
EID_20210,0.2406
EID_10294,0.0333
EID_19941,0.6728
EID_25572,0.2976
EID_7758,0.1967
EID_22718,0.5918
EID_1078,0.0026
EID_8227,0.1777
EID_1702,0.1894
EID_3532,0.2154
EID_22452,0.1646
EID_3019,0.037
EID_22264,0.0758
EID_9866,0.006
EID_3520,0.1252
EID_21098,0.1821
EID_1186,0.0925
EID_12355,0.1048
EID_11020,0.1495
EID_19193,0.2759
EID_17787,0.2792
EID_13719,0.133
EID_24449,0.0768
EID_12957,0.7309
EID_24794,0.2707
EID_2866,0.7203
EID_10563,0.9143
EID_22492,0.1017
EID_4106,0.1722
EID_6648,0.0511
EID_7209,0.091
EID_9692,0.1451
EID_22763,0.1299
EID_12622,0.1707
EID_9831,0.1751
EID_5731,0.0255
EID_1114,0.0647
EID_25017,0.1764
EID_22956,0.1091
EID_5549,0.1243
EID_12022,0.161
EID_8034,0.0981
EID_20644,0.1761
EID_20125,0.152
EID_21957,0.1657
EID_8870,0.0506
EID_2305,0.1864
EID_3977,0.0815
EID_14845,0.0399
EID_6629,0.0887
EID_14577,0.195
EID_24509,0.1006
EID_1530,0.1989999999999999
EID_21524,0.0887
EID_6647,0.4688
EID_19730,0.8333
EID_4424,0.1594
EID_7964,0.8807
EID_6289,0.2254
EID_2899,0.8807
EID_2827,0.691
EID_8801,0.0119
EID_20454,0.3181
EID_18988,0.2309
EID_8405,0.1199
EID_14497,0.1393
EID_11769,0.1249
EID_21353,0.1472
EID_2221,0.0255
EID_13218,0.3262
EID_4576,0.7799
EID_17470,0.2733
EID_14817,0.3518
EID_21845,0.1267
EID_21987,0.1523
EID_1168,0.2171
EID_14315,0.1261
EID_5043,0.2251
EID_1967,0.2436
EID_22274,0.1689
EID_11091,0.255
EID_18421,0.1658
EID_8316,0.7922
EID_13308,0.1391
EID_19481,0.1663
EID_17732,0.012
EID_4504,0.0979
EID_2539,0.0013
EID_19529,0.0518
EID_2279,0.0804
EID_14508,0.7982
EID_12241,0.0541
EID_11530,0.0476
EID_20147,0.255
EID_6154,0.165
EID_3523,0.0195
EID_20453,0.0734
EID_11929,0.1899
EID_12840,0.2721
EID_22320,0.0888
EID_25383,0.8807
EID_10731,0.1754
EID_1017,0.0946
EID_1819,0.0218
EID_22849,0.0084
EID_12290,0.9479
EID_24238,0.1087
EID_3105,0.0319
EID_14242,0.0849
EID_16569,0.2936
EID_8094,0.0558
EID_7824,0.1448
EID_8978,0.2287
EID_25314,0.021
EID_17810,0.0459
EID_14856,0.1351
EID_22144,0.1535
EID_23603,0.283
EID_7211,0.0737
EID_19340,0.1089
EID_1501,0.5041
EID_22111,0.0181
EID_16147,0.16
EID_16746,0.0529
EID_20777,0.6087
EID_12999,0.0786
EID_21663,0.1685
EID_11862,0.1868
EID_17683,0.1858
EID_19819,0.1768
EID_21562,0.1984
EID_24390,0.0634
EID_14444,0.0133
EID_3261,0.0204
EID_7752,0.2118
EID_3033,0.0792
EID_22433,0.1561
EID_23727,0.0731
EID_24107,0.0215
EID_22537,0.1932
EID_13645,0.118
EID_16021,0.0987
EID_19800,0.2389
EID_1944,0.1743
EID_15868,0.2273
EID_22188,0.2105
EID_13833,0.6843
EID_15028,0.0283
EID_24861,0.0083
EID_13033,0.2445
EID_23673,0.2728
EID_13265,0.2287
EID_23411,0.2722
EID_3761,0.1416
EID_7299,0.0666
EID_2379,0.1294
EID_18863,0.1486
EID_12115,0.0874
EID_23879,0.1092
EID_16586,0.1966
EID_19003,0.0287
EID_11107,0.054
EID_15416,0.0108
EID_19214,0.063
EID_5135,0.2739999999999999
EID_22464,0.2309
EID_22759,0.2682
EID_17833,0.5593
EID_17627,0.1168
EID_25730,0.1926
EID_2377,0.1692
EID_18085,0.4855
EID_14096,0.1578
EID_8384,0.0168
EID_17105,0.1736
EID_9929,0.1262
EID_13267,0.0307
EID_12954,0.2877
EID_4464,0.1525
EID_11464,0.1462
EID_19308,0.0033
EID_17530,0.081
EID_6981,0.1058
EID_19951,0.2521
EID_1100,0.192
EID_25145,0.1797
EID_15614,0.1402
EID_2961,0.2275
EID_1742,0.1482
EID_2843,0.0274
EID_9549,0.0551
EID_12832,0.1195
EID_17914,0.1419
EID_22832,0.1199
EID_5755,0.1807
EID_1141,0.8728
EID_18954,0.2648
EID_10824,0.0204
EID_24478,0.0344
EID_14916,0.006
EID_4434,0.031
EID_23650,0.0826
EID_16556,0.0579999999999999
EID_24656,0.1498
EID_25965,0.1858
EID_9279,0.133
EID_13802,0.134
EID_2748,0.1253
EID_17346,0.1733
EID_1171,0.0271
EID_1552,0.2794
EID_20674,0.1448
EID_2475,0.1919
EID_16714,0.4393
EID_7857,0.0152
EID_3294,0.5279
EID_2280,0.0546
EID_10203,0.1592
EID_22162,0.1986
EID_10438,0.1159
EID_12898,0.0348
EID_4358,0.1191
EID_6179,0.5074
EID_2538,0.0242
EID_13110,0.3853
EID_24585,0.0669
EID_1006,0.2436
EID_11632,0.1609
EID_21011,0.3331
EID_16869,0.0523
EID_20564,0.09
EID_12996,0.1191
EID_1503,0.0059
EID_23053,0.0701
EID_22049,0.2562
EID_4346,0.2801
EID_1887,0.0097
EID_16849,0.0447
EID_10071,0.5670000000000001
EID_11265,0.0341
EID_12611,0.1126
EID_25542,0.2387
EID_11582,0.1062
EID_19550,0.1184
EID_5351,0.1956
EID_3305,0.3688
EID_18846,0.092
EID_24764,0.1854
EID_2191,0.0182
EID_6314,0.1964
EID_23248,0.1307
EID_4570,0.7107
EID_16415,0.2873
EID_11002,0.4921
EID_20498,0.087
EID_7846,0.0436
EID_24121,0.1564
EID_7536,0.0119
EID_2015,0.0773
EID_7934,0.1864
EID_20903,0.0213
EID_17535,0.1555
EID_19760,0.174
EID_9550,0.2122
EID_4261,0.0486
EID_19753,0.1984
EID_13542,0.0845
EID_24283,0.1801
EID_7552,0.2899
EID_11577,0.3777
EID_3228,0.2957
EID_17468,0.1015
EID_15815,0.2568
EID_2093,0.0385
EID_21356,0.2852
EID_12357,0.2815
