Unit_Accounting and Finance,Unit_Human Resource Management,Unit_IT,Unit_Logistics,Unit_Marketing,Unit_Operarions,Unit_Production,Unit_Purchasing,Unit_Quality,Unit_R&D,Unit_Sales,Unit_Security,Compensation_and_Benefits_type0,Compensation_and_Benefits_type1,Compensation_and_Benefits_type2,Compensation_and_Benefits_type3,Compensation_and_Benefits_type4,Age,Time_of_service,Time_since_promotion,growth_rate,Post_Level,Pay_Scale,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Gender,Relationship_Status,Decision_skill_possess,Attrition_rate,Employee_ID
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1763718927976736,-0.9198132222399696,1.4102532301234458,-0.8839355906319228,-1.5346138028944663,0.4724481833167967,0.5445739851154839,1.0950396220613718,0.78616279402421,1.892105251573735,0.18495648951211835,1.2403404702723357,-1.8176826773116612,-0.2716737465808608,1,0,3,0.1841,EID_23371
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.1893854659056557,-0.8218633946071773,1.4102532301234458,-0.6946344019240213,0.17335926654845654,-0.010937644891373957,1.4312384775148632,-0.10711168111282078,-1.0117474109988696,-0.452049746609556,0.18495648951211835,0.17585328328955535,-1.8176826773116612,-0.2716737465808608,0,1,1,0.067,EID_18000
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.3903784338672998,1.333032813314255,0.5404782022935175,0.2518715416154865,-0.6806272681730049,0.9558340115249674,-1.2287549996832745,1.0950396220613718,-1.0117474109988696,-0.452049746609556,2.150487727685532,0.17585328328955535,0.7667002762120273,-0.2716737465808608,1,0,3,0.0851,EID_3891
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.0376346482719525,-0.9198132222399696,0.5404782022935175,0.5673735227953224,0.17335926654845654,0.9558340115249674,-1.2287549996832745,-0.10711168111282078,-1.9107025135104097,-0.452049746609556,0.18495648951211835,0.17585328328955535,-0.09476070829586886,-0.2716737465808608,1,1,0,0.0668,EID_17492
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.6582576041876943,-0.8218633946071773,1.4102532301234458,0.9459759002111255,0.17335926654845654,-1.9444809577240567,0.5445739851154839,-2.511414287461206,0.78616279402421,-0.452049746609556,0.18495648951211835,-0.8886339036932251,0.7667002762120273,-1.3601102312798221,1,0,3,0.1827,EID_22534
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0868767985998933,0.5494341922519159,-1.1990718533663394,-1.641140345463529,1.8813323359913794,1.4392198397331382,-1.2287549996832745,-0.10711168111282078,-1.9107025135104097,1.892105251573735,0.18495648951211835,-0.8886339036932251,0.7667002762120273,-0.2716737465808608,0,0,3,0.7613,EID_2278
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.4170116923562106,-1.1157128775055545,-1.1990718533663394,0.1887711453795193,-1.5346138028944663,-0.010937644891373957,-0.34209050728389534,-0.10711168111282078,-1.0117474109988696,0.7199772862819134,0.18495648951211835,0.17585328328955535,-0.09476070829586886,-0.2716737465808608,1,0,2,0.2819,EID_18588
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0,2.0186816067438014,1.4102532301234458,-1.5149395529915946,1.027345801269918,-0.010937644891373957,-0.34209050728389534,-0.10711168111282078,-0.11279230848732984,-0.452049746609556,0.18495648951211835,0.17585328328955535,1.6281612607199236,-0.2716737465808608,1,0,2,0.1169,EID_1235
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.024621075163970347,-0.038264773544838274,-1.1990718533663394,0.12567074914355214,-1.5346138028944663,1.4392198397331382,1.4312384775148632,-2.511414287461206,1.2555264592028103e-15,1.892105251573735,0.18495648951211835,2.304827657255116,-0.956221692803765,-0.2716737465808608,0,1,1,0.1968,EID_10197
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4039981192482285,0.7453338475175008,1.4102532301234458,-0.8208351943959556,-0.6806272681730049,-0.4943234730995446,1.4312384775148632,-0.10711168111282078,0.78616279402421,-0.452049746609556,0.18495648951211835,1.2403404702723357,0.7667002762120273,-0.2716737465808608,0,0,2,0.287,EID_21262
